lon,lat,observation_date,county,Spotted Lanternfly
-73.99672,40.7026283,21-Sep-2021,New York,1
-73.9512472,40.8152778,21-Sep-2021,New York,1
-74.0074695,40.7034133,27-Sep-2021,New York,1
-74.003654,40.6514053,27-Sep-2021,Kings,1
-74.0173123,40.6305492,27-Sep-2021,Kings,1
-73.9741874,40.6920638,18-Sep-2021,Kings,1
-74.167447,40.602024,11-Sep-2021,Richmond,1
-73.9584024,40.8244406,27-Sep-2021,New York,1
-73.9223867,40.6891417,06-Sep-2021,Kings,1
-73.98147,40.768695,13-Aug-2021,New York,1
-73.9612967,40.8022883,29-Sep-2021,New York,1
-73.96488,40.768725,14-Sep-2021,New York,1
-73.9498401,40.8160933,25-Sep-2021,New York,1
-73.9680505,40.6427288,01-Oct-2021,Kings,1
-73.973608,40.685536,01-Oct-2021,Kings,1
-73.9775749,40.7112977,01-Oct-2021,New York,1
-73.815846,40.608073,01-Oct-2021,Queens,1
-73.9729217,40.7791283,01-Oct-2021,New York,1
-73.8016133,40.5875367,06-Sep-2021,Queens,1
-73.9216917,40.70865,06-Sep-2021,Kings,1
-73.9687533,40.78088,06-Sep-2021,New York,1
-73.938195,40.7477583,06-Sep-2021,Queens,1
-73.9578094,40.733139,06-Sep-2021,Kings,1
-74.0394095,40.6154068,06-Sep-2021,Kings,1
-74.0254685,40.6861194,06-Sep-2021,New York,1
-73.9438333,40.77538,06-Sep-2021,New York,1
-73.9746413,40.7763799,06-Sep-2021,New York,1
-73.980288,40.6603315,05-Sep-2021,Kings,1
-73.974892,40.7761077,04-Sep-2021,New York,1
-73.9750057,40.7761382,04-Sep-2021,New York,1
-73.9514645,40.7588881,04-Sep-2021,New York,1
-73.8995343,40.5581501,03-Sep-2021,Queens,1
-74.1657981,40.5988021,06-Sep-2021,Richmond,1
-73.9745944,40.7763848,03-Sep-2021,New York,1
-73.971249,40.7830451,03-Sep-2021,New York,1
-73.9746846,40.7761265,03-Sep-2021,New York,1
-73.965434,40.782416,03-Sep-2021,New York,1
-73.9747961,40.7765544,03-Sep-2021,New York,1
-73.974691,40.7763754,03-Sep-2021,New York,1
-74.0103389,40.7422467,02-Sep-2021,New York,1
-73.9796441,40.6784589,06-Sep-2021,Kings,1
-73.9753038,40.776448,03-Sep-2021,New York,1
-73.9772169,40.6808897,03-Sep-2021,Kings,1
-73.9750924,40.7756302,03-Sep-2021,New York,1
-73.9784896,40.6789706,18-Aug-2021,Kings,1
-73.9298083,40.75337,03-Sep-2021,Queens,1
-73.9753668,40.7759461,02-Sep-2021,New York,1
-73.9976583,40.7306867,01-Sep-2021,New York,1
-73.9924708,40.6587365,02-Sep-2021,Kings,1
-73.9848111,40.6525472,31-Aug-2021,Kings,1
-73.9861667,40.6517917,31-Aug-2021,Kings,1
-73.9661012,40.787909,31-Aug-2021,New York,1
-73.9748002,40.7761838,31-Aug-2021,New York,1
-73.9861667,40.6519139,31-Aug-2021,Kings,1
-73.9749158,40.7762446,31-Aug-2021,New York,1
-73.9861444,40.6519306,31-Aug-2021,Kings,1
-73.9860306,40.6519667,31-Aug-2021,Kings,1
-73.9861528,40.6519278,31-Aug-2021,Kings,1
-73.9999917,40.595245,25-Aug-2021,Kings,1
-73.9657901,40.787878,31-Aug-2021,New York,1
-74.2444839,40.4928093,31-Aug-2021,Richmond,1
-73.9923865,40.6755922,30-Aug-2021,Kings,1
-73.9659639,40.7879639,31-Aug-2021,New York,1
-73.9236388,40.8585653,31-Aug-2021,New York,1
-73.9592017,40.788674,31-Aug-2021,New York,1
-73.9659285,40.787975,31-Aug-2021,New York,1
-74.0191435,40.7068553,31-Aug-2021,New York,1
-73.9430318,40.7431933,28-Aug-2021,Queens,1
-73.9748294,40.7764397,28-Aug-2021,New York,1
-74.1733283,40.5862917,30-Aug-2021,Richmond,1
-73.9639832,40.6513057,29-Aug-2021,Kings,1
-74.0246003,40.68683,29-Aug-2021,New York,1
-74.0117604,40.7130926,29-Aug-2021,New York,1
-74.0117604,40.7130926,29-Aug-2021,New York,1
-74.0916369,40.6453484,30-Aug-2021,Richmond,1
-74.1733667,40.5863216,30-Aug-2021,Richmond,1
-73.9431533,40.8105717,28-Aug-2021,New York,1
-73.968647,40.6732594,29-Aug-2021,Kings,1
-73.9749411,40.7764203,28-Aug-2021,New York,1
-73.9748766,40.7764756,28-Aug-2021,New York,1
-73.9686631,40.7792658,28-Aug-2021,New York,1
-74.1524105,40.560329,28-Aug-2021,Richmond,1
-73.97485,40.77651,28-Aug-2021,New York,1
-73.9745636,40.7763962,28-Aug-2021,New York,1
-73.9699783,40.77997,28-Aug-2021,New York,1
-73.9379967,40.7518967,28-Aug-2021,Queens,1
-73.9669333,40.702075,26-Aug-2021,Kings,1
-73.9901967,40.690705,26-Aug-2021,Kings,1
-74.0214612,40.6908133,25-Aug-2021,New York,1
-73.954375,40.8058383,29-Aug-2021,New York,1
-73.9829597,40.6947031,29-Aug-2021,Kings,1
-74.245545,40.506195,29-Aug-2021,Richmond,1
-73.9943461,40.6463832,26-Aug-2021,Kings,1
-74.0134111,40.7005217,26-Aug-2021,New York,1
-73.9887538,40.7485983,26-Aug-2021,New York,1
-73.9519667,40.778225,26-Aug-2021,New York,1
-73.9744299,40.7589215,25-Aug-2021,New York,1
-73.9753283,40.7404883,26-Aug-2021,New York,1
-73.9430917,40.8105667,26-Aug-2021,New York,1
-73.9774104,40.688221,26-Aug-2021,Kings,1
-74.020325,40.6916467,26-Aug-2021,New York,1
-73.9419398,40.575551,24-Aug-2021,Kings,1
-74.0063414,40.7596187,25-Aug-2021,New York,1
-74.159425,40.55487,25-Aug-2021,Richmond,1
-74.004968,40.723058,25-Aug-2021,New York,1
-74.1594167,40.5548883,25-Aug-2021,Richmond,1
-73.9994843,40.7622504,25-Aug-2021,New York,1
-73.9884095,40.7589374,25-Aug-2021,New York,1
-73.9747049,40.7763504,24-Aug-2021,New York,1
-74.080173,40.6288196,24-Aug-2021,Richmond,1
-73.9746951,40.7763465,24-Aug-2021,New York,1
-73.9747361,40.776187,24-Aug-2021,New York,1
-73.9749631,40.7762296,24-Aug-2021,New York,1
-73.9546087,40.8255609,24-Aug-2021,New York,1
-74.2533059,40.5034828,24-Aug-2021,Richmond,1
-73.9747043,40.7765105,24-Aug-2021,New York,1
-73.9747734,40.7765033,24-Aug-2021,New York,1
-73.9748407,40.7763991,24-Aug-2021,New York,1
-73.9747988,40.7762762,24-Aug-2021,New York,1
-73.9745871,40.7766144,24-Aug-2021,New York,1
-73.9819573,40.7755724,03-Aug-2022,New York,1
-73.9745613,40.7760202,20-Aug-2021,New York,1
-73.995361,40.649476,19-Aug-2021,Kings,1
-73.9741874,40.6920638,20-Aug-2021,Kings,1
-73.9743678,40.7761975,20-Aug-2021,New York,1
-73.9889533,40.6594917,21-Aug-2021,Kings,1
