Search type: State

Dicot

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
AMCA4,AMLU3,Amelanchier lucida Fernald,
AMCA4,,Amelanchier canadensis (L.) Medik.,Canadian serviceberry
AMCA4,AMCAS,Amelanchier canadensis (L.) Medik. var. subintegra Fernald,
AMHU2,,Amelanchier humilis Wiegand,low serviceberry
AMHU2,AMHUC2,Amelanchier humilis Wiegand var. compacta E.L. Nielsen,
AMHU2,AMMU4,Amelanchier mucronata E.L. Nielsen,
AMHU2,AMHUC,Amelanchier humilis Wiegand var. campestris E.L. Nielsen,
AMHU2,AMST4,Amelanchier stolonifera auct. non Wiegand. p.p.,
AMHU2,AMHUE,Amelanchier humilis Wiegand var. exserrata E.L. Nielsen,
AMIN2,,Amelanchier interior E.L. Nielsen,inland serviceberry
AMIN2,AMWI,Amelanchier wiegandii E.L. Nielsen,
AMLA,AMGR6,Amelanchier ×grandiflora Rehder,
AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry
AMLA,AMLAN,Amelanchier laevis Wiegand var. nitida (Wiegand) Fernald,
AMLA,AMARC,Amelanchier arborea (Michx. f.) Fernald var. cordifolia (Ashe) B. Boivin,
AMLA,AMARL,Amelanchier arborea (Michx. f.) Fernald ssp. laevis (Wiegand) S. McKay ex Landry,
AMLA,AMARL2,Amelanchier arborea (Michx. f.) Fernald var. laevis (Wiegand) H.E. Ahles,
AMNA2,,Amelanchier nantucketensis E.P. Bicknell,Nantucket serviceberry
AMOB2,,Amelanchier obovalis (Michx.) Ashe,coastal serviceberry
AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry
AMSAS,AMAM4,Amelanchier amabilis Wiegand,
AMSAS,,Amelanchier sanguinea (Pursh) DC. var. sanguinea,roundleaf serviceberry
AMSAS,AMHU3,Amelanchier huronensis Wiegand,
